method,P,MAPE,MAE,RMSE,NRetrieved,adaptation,distancefcn
CBR,5,4.834890891471711,6.830391780503239,5.755949699858364,3,0,minkowski
CBR,5,4.90132654183569,6.846080233188276,5.802875622384393,3,0,chebyshev
CBR,5,4.648048958282951,6.646312015185864,5.49119447630319,3,0,cosine
CBR,5,4.846041805316154,6.985747261180738,5.755072127070815,3,0,correlation
CBR,5,5.17920369639242,7.242306297400786,6.075574613270884,3,0,hamming
CBR,5,4.82825794550908,6.788729880259397,5.668379211148591,3,0,jaccard
CBR,5,4.821790920217045,6.839727465366522,5.739319964714653,3,1,euclidean
CBR,5,4.837081726276064,6.86648003232523,5.757841364689203,3,1,sqeuclidean
CBR,5,4.739188076174616,6.69436065115188,5.634038784847156,3,1,seuclidean
CBR,5,5.0868471084146405,7.437567423701948,5.984743531412008,3,1,mahalanobis
CBR,5,4.702249258883548,6.640949170086243,5.606336421164231,3,1,cityblock
CBR,5,4.82179092021704,6.839727465366526,5.739319964714648,3,1,minkowski
CBR,5,4.919697977455211,6.864365725787869,5.822845901773782,3,1,chebyshev
CBR,5,4.666591334927361,6.675490882874277,5.5153927320976095,3,1,cosine
CBR,5,4.820208313533256,6.945588255885675,5.729513961762199,3,1,correlation
CBR,5,5.179855320572656,7.244727096185174,6.076576042603339,3,1,hamming
CBR,5,4.828257945509079,6.788729880259394,5.668379211148591,3,1,jaccard
CBR,5,4.365110961113915,6.225001683459242,5.180856645361703,10,0,euclidean
CBR,5,4.365110961113915,6.225001683459242,5.180856645361703,10,0,sqeuclidean
CBR,5,4.363976680536684,6.230967007507212,5.179840933156705,10,0,seuclidean
CBR,5,4.313482743037259,6.302094567594137,5.102365090495217,10,0,mahalanobis
CBR,5,4.336715602874057,6.200064849944136,5.151008713046585,10,0,cityblock
CBR,5,4.365110961113915,6.225001683459242,5.180856645361703,10,0,minkowski
CBR,5,4.279879651809626,6.150984319375092,5.078342811102973,10,0,chebyshev
CBR,5,4.278688641178772,6.317013026214449,5.086495940197287,10,0,cosine
CBR,5,4.350123474919989,6.389649425059944,5.173324910908875,10,0,correlation
CBR,5,4.505962216532809,6.510884288151678,5.333631345180776,10,0,hamming
CBR,5,4.205923517033698,6.239410575362205,4.986178225637958,10,0,jaccard
CBR,5,4.3777060310956175,6.213598602554165,5.197522047095577,10,1,euclidean
CBR,5,4.4289913525006135,6.249697750617224,5.2621346866514775,10,1,sqeuclidean
CBR,5,4.381108630046291,6.223372479081241,5.202293156794265,10,1,seuclidean
CBR,5,4.311230492731244,6.34122927270307,5.10045177293809,10,1,mahalanobis
CBR,5,4.3828308263111335,6.210676125641058,5.205137168022924,10,1,cityblock
