method,N,P,MAPE,MSE,RMSE,MAE,activationfcn,activationfcn1,optimizerfcn,lossfcn,dayx
LSTM,8,3,5.837657171778793,79.0284986975348,7.612916163667708,6.848561843683634,relu,relu,adam,mse,False
LSTM,8,5,5.603557426305901,74.66888524010834,7.588409206774383,6.585107658048528,relu,relu,adam,mse,False
LSTM,8,7,5.895355257040785,87.14119940954697,8.058913845632548,6.954218109322347,relu,relu,adam,mse,False
LSTM,8,9,6.539769911661178,679.3718447697678,10.021622618449202,8.037282996645484,relu,relu,adam,mse,False
LSTM,10,3,5.8008141429228255,80.83421394610026,7.691265142279533,6.958213413661897,relu,relu,adam,mse,False
LSTM,10,5,164.84670262076366,943800.8450122572,160.84942669289674,159.23617414976857,relu,relu,adam,mse,False
LSTM,10,7,193.702082311465,5951229.666152194,275.7451159005154,196.69138596781343,relu,relu,adam,mse,False
LSTM,10,9,6.614844828779905,106.8235005570948,9.044852743473296,7.797670045674084,relu,relu,adam,mse,False
JNN,4,3,3.8749637623017854,44.64116252394382,4.668649755950392,4.668649755950392,sigmoid,linear,adam,mse,True
JNN,4,5,3.9383449420531935,45.81194064293852,4.75890108343208,4.75890108343208,sigmoid,linear,adam,mse,True
JNN,4,7,4.002860491066426,47.6459436345276,4.824248331469743,4.824248331469743,sigmoid,linear,adam,mse,True
JNN,4,9,4.135660763303577,50.73917964856151,4.977793585018059,4.977793585018059,sigmoid,linear,adam,mse,True
JNN,6,3,3.68181750988758,42.09012482367176,4.450878147130131,4.450878147130131,sigmoid,linear,adam,mse,True
JNN,6,5,3.7604438633353823,43.33400622378977,4.554108298733127,4.554108298733127,sigmoid,linear,adam,mse,True
JNN,6,7,3.932024620723838,47.327672365384544,4.756142026988879,4.756142026988879,sigmoid,linear,adam,mse,True
JNN,6,9,4.028175270227013,49.80919913497705,4.885861171314716,4.885861171314716,sigmoid,linear,adam,mse,True
JNN,8,3,3.658251972767909,41.65623497044881,4.42143215291485,4.42143215291485,sigmoid,linear,adam,mse,True
JNN,8,5,3.7445403634887593,44.02644883904428,4.55274076065616,4.55274076065616,sigmoid,linear,adam,mse,True
JNN,8,7,3.900899982505799,47.08101641721138,4.733479528006967,4.733479528006967,sigmoid,linear,adam,mse,True
JNN,8,9,4.017516098195828,49.70190672829533,4.883491512136834,4.883491512136834,sigmoid,linear,adam,mse,True
JNN,10,3,3.637693737831096,42.012560384500304,4.408640203965315,4.408640203965315,sigmoid,linear,adam,mse,True
JNN,10,5,3.74798158600374,44.41216128829134,4.571908438579303,4.571908438579303,sigmoid,linear,adam,mse,True
JNN,10,7,3.905075842500061,47.31934590904989,4.74863080853958,4.74863080853958,sigmoid,linear,adam,mse,True
JNN,10,9,3.976396131469939,48.90235686748415,4.825273058683673,4.825273058683673,sigmoid,linear,adam,mse,True
JNN,4,3,3.933453843531922,44.42656830865939,5.432538034575931,4.715805608829506,sigmoid,linear,adam,mse,False
JNN,4,5,4.203088878248373,47.78183761731368,5.971855745968658,5.021264469028561,sigmoid,linear,adam,mse,False
JNN,4,7,4.189482541172756,48.38168587179484,6.085780884005981,5.013725208953671,sigmoid,linear,adam,mse,False
JNN,4,9,4.381960532854784,50.64262434224736,6.354929086386359,5.204770491429966,sigmoid,linear,adam,mse,False
JNN,6,3,3.6428036624285647,41.28204296954902,5.141545463023099,4.402910098900907,sigmoid,linear,adam,mse,False
JNN,6,5,3.881481212420092,43.57567922788981,5.616560148936292,4.658059908664511,sigmoid,linear,adam,mse,False
JNN,6,7,3.999357408345408,45.0564885010225,5.869805708745162,4.794731598875679,sigmoid,linear,adam,mse,False
JNN,6,9,4.085503376787495,46.70532033234007,6.056105412410906,4.893338799103665,sigmoid,linear,adam,mse,False
JNN,8,3,3.587649027768314,40.30064819604584,5.080403931481726,4.348289021158228,sigmoid,linear,adam,mse,False
JNN,8,5,3.6812228078960607,41.40616111472892,5.43436490587663,4.45055347764634,sigmoid,linear,adam,mse,False
JNN,8,7,3.76684618438006,43.06751430901496,5.672308404281072,4.556155228231448,sigmoid,linear,adam,mse,False
JNN,8,9,3.78020281131073,44.16744488789495,5.78069888100449,4.570916558399957,sigmoid,linear,adam,mse,False
JNN,10,3,3.640633601213253,40.64017073200838,5.146340630065135,4.397082469287501,sigmoid,linear,adam,mse,False
JNN,10,5,3.727993119265306,41.81270552786735,5.497005638165774,4.506275584877757,sigmoid,linear,adam,mse,False
JNN,10,7,3.706143839846155,43.12968525805242,5.611739523625865,4.48593977351686,sigmoid,linear,adam,mse,False
JNN,10,9,3.957985997230109,45.90971361461507,5.956970829569564,4.759686692936594,sigmoid,linear,adam,mse,False
JNN,4,5,3.955019064921717,45.83110507296391,4.781877516891722,4.781877516891722,sigmoid,linear,adam,mse,True
JNN,4,7,4.025018730593719,48.09237529773744,4.845162346263443,4.845162346263443,sigmoid,linear,adam,mse,True
JNN,4,9,4.157150285483329,51.17404912326099,5.004743364051176,5.004743364051176,sigmoid,linear,adam,mse,True
JNN,6,5,3.8052086289496847,43.8078379010576,4.602337682510157,4.602337682510157,sigmoid,linear,adam,mse,True
JNN,6,7,3.8877291114701977,46.74035560119399,4.703942311446785,4.703942311446785,sigmoid,linear,adam,mse,True
JNN,6,9,4.051450304799412,49.83829401322246,4.922779283995102,4.922779283995102,sigmoid,linear,adam,mse,True
JNN,8,5,3.720727571077138,43.483088257237256,4.518772207098365,4.518772207098365,sigmoid,linear,adam,mse,True
JNN,8,7,3.963765558257734,47.35071791152731,4.808774326944045,4.808774326944045,sigmoid,linear,adam,mse,True
JNN,8,9,4.04901256660436,49.86192679031356,4.907833121767039,4.907833121767039,sigmoid,linear,adam,mse,True
JNN,10,5,3.782248929336048,44.70501614687731,4.6014074858563925,4.6014074858563925,sigmoid,linear,adam,mse,True
JNN,10,7,3.8999011194624993,47.79547344037255,4.737147001366469,4.737147001366469,sigmoid,linear,adam,mse,True
JNN,10,9,4.018043541894555,49.67546803650521,4.881393070783012,4.881393070783012,sigmoid,linear,adam,mse,True
JNN,8,3,3.5790325389028594,40.15593769815239,5.08464268757529,4.3372324994419404,sigmoid,linear,adam,mse,False
JNN,8,5,3.727095828644948,41.92305921125631,5.473715454713542,4.507914159733446,sigmoid,linear,adam,mse,False
